company_id,company_name,industry,funding_rounds,total_funding,last_funding_date,job_postings_30d,employee_growth_pct,hiring_roles,industry_growth_rate,regional_employment_trend,funding_per_employee,days_since_last_funding,growth_momentum,is_hot_lead
COMP_024008,Moreno and Sons,Retail,1.9115327037395882,3795597.04,2021-07-14,10.995177291493919,-8.355216447945889,Operations,11.5,-0.2,-5930.620375,1317,45547164.480000004,0
COMP_007976,"Morales, Hubbard and Mcdonald",Healthcare,3.221004606110911,5792195.29,2020-05-23,5.052385433120287,20.60271750287051,Marketing,23.9,10.5,2106.2528327272726,1734,34753171.74,0
COMP_021959,Strickland-Wright,Tech,3.9759657154416317,191991.0,2020-05-07,5.0089448096873115,0.45601263806948034,Operations,20.5,-1.5,1371.3642857142856,1750,959955.0,0
COMP_012658,Sanders Group,Fintech,2.842381587332986,890042.57,2023-04-11,9.882708546313149,1.2021420394622637,Operations,23.2,13.9,4238.297952380952,681,8010383.13,0
COMP_011887,Davis Inc,Retail,2.2643587806865657,3369725.77,2024-03-27,11.461474567552298,22.63312627507298,Marketing,9.0,8.6,1567.314311627907,330,40436709.24,1
COMP_024359,Underwood-Moore,Healthcare,4.875183911332977,2881335.43,2021-09-17,6.869437299032791,32.667975707729966,Marketing,21.0,1.0,752.30690078329,1252,20169348.01,0
COMP_010563,"Mendez, Walker and Garcia",Fintech,0.9009923862500804,7941005.0,2022-03-03,7.892017390378558,22.698967716738913,Marketing,14.5,-3.6,3214.981781376518,1085,63528040.0,0
COMP_007167,Dennis-Hicks,Fintech,1.170316442042263,1716573.56,2021-03-16,11.93109075620592,8.556497688522514,Engineering,29.4,-1.2,1928.7343370786518,1437,24032029.84,0
COMP_014578,House and Sons,SaaS,3.3379481901360792,178278.14,2024-08-31,7.1008425163363595,30.05827275756808,Engineering,25.2,10.4,52.74501183431954,173,1426225.12,0
COMP_015475,"Neal, Fernandez and Montgomery",Tech,3.864426957211439,2266813.43,2024-12-07,9.548881780180768,-2.0226821795568797,Engineering,14.4,9.2,-25186.81588888889,75,27201761.160000004,0
COMP_009494,Sloan and Sons,Fintech,3.1344834274834827,2761687.49,2024-04-07,8.107786746759444,31.686766990941614,Sales,7.2,12.5,791.3144670487106,319,22093499.92,0
COMP_003927,Hicks-Cox,Tech,2.9927884051999167,1305887.46,2020-05-15,10.175551378515678,33.51079722037939,Engineering,23.0,1.4,327.2900902255639,1742,14364762.059999999,0
COMP_018622,"Ward, Guerrero and Williams",Retail,2.01589806524683,10044109.18,2024-05-12,14.482152850267202,7.127017518149598,Marketing,14.2,1.7,13759.053671232876,284,140617528.51999998,0
COMP_019346,Serrano-Bell,Fintech,3.227829558171684,4756102.92,2023-10-01,7.073893734615198,30.58951502456571,Engineering,27.6,-1.9,1596.0076912751679,508,38048823.36,0
COMP_008604,Yates Group,SaaS,5.584658402754359,4808488.52,2022-01-07,7.602670890518238,13.822680396695457,Sales,13.1,-1.0,2914.2354666666665,1140,43276396.67999999,0
COMP_012087,Smith Group,Retail,2.8600191151926544,4799007.42,2023-07-26,9.344894259123766,23.712762314777905,Marketing,22.4,-2.9,1797.3810561797752,575,43191066.78,0
COMP_004638,"Jones, Powell and Turner",Retail,2.9090652272386555,4312393.19,2021-01-17,14.927779929604437,27.865688444474188,Sales,22.5,-4.9,1627.3181849056605,1495,60373504.660000004,1
COMP_001578,Armstrong LLC,Fintech,5.107468976489388,5181058.75,2020-12-26,15.818070627820852,1.5790561420335838,Operations,27.6,10.0,18503.78125,1517,72534822.5,0
COMP_005857,Berry Inc,Healthcare,5.227059387729502,1327427.37,2022-06-04,11.096861974295955,4.5313287346010584,Engineering,21.2,10.8,2413.5043090909094,992,14601701.07,0
COMP_013930,Miller-Ayala,Tech,0.9987841721252579,805935.13,2024-01-16,11.208342222577443,-6.964377988846446,Operations,11.5,0.8,-1299.8953709677419,401,8059351.3,0
COMP_012899,Wallace Group,Retail,3.0670883499295396,8958057.42,2020-12-18,10.575480342651222,-9.354576345228832,Marketing,8.7,14.6,-10924.460268292685,1525,116454746.46,0
COMP_022272,"Walsh, Baker and Andrews",SaaS,5.037552966036275,1042722.02,2022-01-19,7.758334097495102,-4.667017010042938,Engineering,22.5,-2.9,-2266.7870000000003,1128,8341776.16,0
COMP_006138,Willis Ltd,Retail,4.646094055667941,7770933.08,2022-09-12,6.548583702447491,4.774656892603601,Engineering,28.1,11.6,15237.123686274512,892,54396531.56,0
COMP_016630,Edwards Inc,Healthcare,3.520820396946673,1555763.1,2021-07-13,8.658402554049701,-2.85358546755797,Engineering,7.7,-2.2,-8188.226842105264,1318,12446104.8,0
COMP_000716,Bowman Inc,Healthcare,1.8273596448361444,3161033.54,2020-08-02,13.614403123756981,29.963226997622503,Sales,29.1,8.5,1060.7495100671142,1663,44254469.56,1
COMP_019681,Garza Group,SaaS,3.0265598692868947,3016151.11,2022-04-13,9.225672557232103,7.694705736718399,Engineering,17.8,13.4,2669.1602743362832,1044,27145359.99,0
COMP_007908,"Moses, Page and Mann",Fintech,2.165581788754302,8503908.06,2021-09-30,9.57617340456708,-8.548125736183005,Marketing,8.6,-4.6,-10498.651925925926,1239,68031264.48,0
COMP_018077,"Taylor, Haynes and Hernandez",Retail,2.2624150456540733,3764480.82,2021-07-15,12.251811549159221,30.370336802476675,Engineering,24.5,3.3,1242.402910891089,1316,45173769.839999996,0
COMP_001399,"Hudson, Douglas and Donovan",Fintech,1.8872874419015895,4599575.12,2024-06-24,6.960285739845311,43.45270988381177,Engineering,28.8,2.9,1006.471579868709,241,36796600.96,0
COMP_005413,Hays LLC,Healthcare,0.9960998910874823,6887766.84,2022-08-09,8.107594184902762,-8.315911308017203,Operations,21.3,1.4,-10436.010363636364,926,55102134.72,0
COMP_022366,Ellis LLC,Retail,1.9032063930337169,10013315.37,2024-05-10,7.077252755141213,18.12335685887643,Operations,8.1,10.1,5594.0309329608945,286,70093207.58999999,0
COMP_009861,Hill PLC,Fintech,3.816587094132117,2417036.02,2021-05-29,8.339803648444025,5.801744368817086,Operations,16.0,7.4,3356.994472222222,1363,21753324.18,0
COMP_012778,"Winters, Carson and Meyer",Fintech,1.795902366149089,918185.0,2021-11-04,18.385649087002584,54.76353868611846,Sales,21.8,0.6,187.76789366053168,1204,14690960.0,0
COMP_017879,Warren-Santos,SaaS,6.149218690176382,2058119.21,2020-06-07,19.561904710729138,36.532079958882655,Sales,12.2,5.6,547.3721303191489,1719,41162384.2,1
COMP_007265,Wilson-Green,SaaS,1.814720964003982,9486457.77,2021-06-28,13.737780389307218,-4.027596767219666,Sales,17.3,3.1,-32711.923344827585,1333,113837493.24,0
COMP_018597,Schneider-Hall,Healthcare,1.9938551333379981,1989202.62,2020-06-13,8.450373685698802,4.768461463994197,Marketing,29.2,-1.0,3060.311723076923,1713,17902823.580000002,0
COMP_016819,Silva-Rodriguez,Fintech,2.982588607523625,2714234.14,2021-11-09,11.737061213651154,37.114103962698806,Operations,22.9,14.8,807.8077797619048,1199,32570809.68,1
COMP_016925,Phillips-Robinson,Healthcare,4.258827973805977,2158196.46,2023-03-09,5.3006743388478945,25.316380343766053,Operations,16.1,13.0,793.454580882353,714,12949178.76,0
